报表日期,2007-03-31,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30
现金及存放中央银行款项,78777600.0,92352200.0,101330600.0,114234600.0,126220600.0,148452200.0,154801900.0,169302400.0,168477900.0,164894100.0,177751200.0,169304800.0,201733500.0,211174500.0,226620800.0,228299900.0,262871200.0,284590200.0,291659100.0,276215600.0,288909600.0,302803800.0,315051900.0,317494300.0,322010800.0,330099100.0,336053200.0,329400700.0,352583000.0,360740400.0,347242500.0,352362200.0,353766700.0,361526000.0,327330800.0,305963300.0,332322500.0,333169300.0,330256400.0,335078800.0,343783000.0,354277300.0,354191400.0,361387200.0,363930200.0,381845300.0,372036000.0,337257600.0,359748500.0,399311200.0,338631700.0
存放同业款项,1566200.0,2148500.0,2862900.0,2940600.0,3012200.0,3715100.0,4397900.0,4157100.0,3500800.0,8857400.0,14148100.0,15739500.0,26889600.0,17773100.0,20798400.0,18394200.0,29734300.0,33890400.0,18043800.0,31748600.0,50491700.0,63301400.0,53953300.0,41193700.0,44896800.0,30306400.0,30430600.0,30636600.0,25332000.0,22978900.0,33347700.0,30427300.0,25947100.0,28037000.0,23074500.0,21155900.0,18227000.0,18828600.0,24463400.0,27005800.0,44089000.0,44744800.0,42588300.0,37007400.0,26306500.0,32243200.0,37814900.0,38464600.0,37422600.0,35111700.0,54260500.0
拆出资金,12312500.0,16381300.0,21228200.0,17035200.0,14599800.0,12748700.0,16416200.0,12679200.0,15141600.0,8829800.0,11473700.0,7790600.0,10356100.0,17153200.0,9643700.0,6491800.0,9845800.0,12278200.0,11558300.0,16051600.0,16264900.0,25240300.0,24565500.0,22451300.0,24112100.0,33800900.0,33243900.0,41161800.0,31679300.0,41229800.0,24926400.0,47850300.0,52473600.0,50298200.0,53736300.0,47223400.0,45413400.0,44046800.0,47942100.0,52741500.0,55501900.0,50979100.0,55416000.0,47753700.0,52226400.0,58403400.0,71953900.0,57780300.0,68705800.0,60389200.0,62973600.0
贵金属,0.0,0.0,0.0,0.0,0.0,292400.0,254200.0,281900.0,295300.0,272300.0,266200.0,269900.0,520300.0,622600.0,671100.0,1022600.0,1346100.0,1792700.0,2491200.0,3897100.0,3837900.0,3478000.0,3917100.0,5535800.0,4404900.0,3853200.0,5075200.0,6182100.0,8194600.0,9091100.0,8271700.0,9595000.0,11616600.0,11519800.0,11458400.0,11461900.0,15015600.0,19353000.0,20909400.0,22009100.0,20480500.0,22572600.0,21160200.0,23871400.0,21667400.0,17402400.0,16576900.0,18129200.0,19414900.0,24514900.0,25237600.0
交易性金融资产,4252000.0,3679100.0,3988000.0,3432100.0,4523900.0,4373900.0,3120000.0,3364100.0,2847700.0,3165300.0,2497700.0,2014700.0,1157400.0,1570400.0,1717300.0,1298600.0,13747200.0,13149600.0,17921600.0,15220800.0,18848800.0,13183700.0,16554500.0,22167100.0,17238100.0,31215100.0,37182300.0,37255600.0,35713000.0,38659200.0,34694800.0,34682800.0,43015900.0,42296000.0,46573400.0,34327200.0,42862000.0,43909300.0,49299200.0,47447500.0,50894300.0,50354400.0,45856500.0,44093800.0,85001100.0,80068500.0,82931500.0,80534700.0,92982200.0,88992300.0,94671100.0
衍生金融工具资产,1169000.0,1430500.0,1729200.0,2276900.0,2836600.0,2535400.0,1901300.0,1572100.0,969700.0,686700.0,746800.0,575800.0,517200.0,873500.0,1025400.0,1333200.0,1296600.0,1380300.0,1559600.0,1746000.0,1116300.0,1448400.0,1494200.0,1475600.0,1794100.0,2694900.0,1960000.0,2502000.0,2642700.0,2594300.0,3727700.0,2404800.0,8149400.0,6965700.0,7147800.0,7887000.0,9644600.0,7118000.0,6986000.0,9445200.0,7199700.0,5756900.0,9258700.0,8901300.0,11412000.0,8728700.0,10165300.0,7133500.0,7308300.0,6159800.0,11782800.0
买入返售金融资产,7363600.0,8411000.0,9679800.0,7588000.0,8888500.0,5918200.0,6641900.0,16349300.0,76446100.0,94328400.0,56408200.0,40882600.0,45238300.0,27913600.0,36601500.0,26222700.0,38066000.0,35782900.0,26327300.0,34943700.0,49621100.0,53276400.0,49934200.0,54457900.0,67200400.0,46200000.0,40666100.0,33190300.0,51563500.0,54064500.0,43260400.0,46846200.0,65942100.0,104006800.0,65226600.0,99633300.0,68735400.0,72337900.0,55469000.0,75562700.0,55860200.0,84065800.0,83486200.0,98663100.0,65205400.0,68791300.0,85184900.0,73404900.0,88369200.0,95480700.0,111692400.0
应收利息,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
发放贷款及垫款,369643300.0,391560600.0,393591700.0,407322900.0,413382400.0,435536500.0,442006500.0,457199400.0,520842900.0,543646900.0,558046900.0,572862600.0,606279300.0,635438400.0,657151200.0,679050600.0,706335100.0,733404000.0,759904000.0,778889700.0,815809000.0,842403700.0,863781200.0,880369200.0,926495400.0,943764200.0,964452000.0,992237400.0,1037218000.0,1064611500.0,1085365200.0,1102633100.0,1131984200.0,1164208500.0,1188065900.0,1193346600.0,1234570600.0,1267731700.0,1291420300.0,1305684600.0,1357244400.0,1386590900.0,1409566400.0,1423344800.0,1456801400.0,1493413700.0,1526393900.0,1545886300.0,1593240200.0,1631504400.0,1666048600.0
代理业务资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
可供出售金融资产,44842000.0,51766900.0,50938300.0,53124100.0,58292700.0,58951200.0,48700300.0,53760000.0,55317500.0,64849800.0,79366900.0,94990900.0,98729100.0,102788100.0,95546600.0,90479500.0,82433900.0,82983200.0,82406900.0,84010500.0,87576800.0,86983600.0,90382900.0,92093900.0,98686600.0,102640700.0,99992200.0,100080000.0,106240200.0,112858200.0,115730900.0,118828800.0,126050900.0,143809300.0,138883800.0,144419500.0,155848200.0,160749800.0,171200100.0,174228700.0,176100100.0,163232900.0,156657000.0,149645300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
持有至到期投资,138426100.0,140632400.0,134610700.0,133008500.0,134351900.0,134842100.0,132867300.0,131432000.0,127851000.0,127314100.0,141020500.0,149673800.0,146085300.0,207539200.0,227947000.0,231278100.0,228685600.0,227492800.0,239926200.0,242478500.0,250072300.0,252568600.0,256018600.0,257656200.0,263879300.0,267416400.0,265878700.0,262440000.0,259948500.0,262186400.0,259388600.0,256639000.0,254482900.0,264648900.0,281539900.0,287035300.0,294571900.0,313355100.0,293706600.0,297304200.0,298539500.0,309029800.0,331922100.0,354218400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
