报表日期,2007-06-30,2007-09-30,2007-12-31,2008-03-31,2008-06-30,2008-09-30,2008-12-31,2009-03-31,2009-06-30,2009-09-30,2009-12-31,2010-03-31,2010-06-30,2010-09-30,2010-12-31,2011-03-31,2011-06-30,2011-09-30,2011-12-31,2012-03-31,2012-06-30,2012-09-30,2012-12-31,2013-03-31,2013-06-30,2013-09-30,2013-12-31,2014-03-31,2014-06-30,2014-09-30,2014-12-31,2015-03-31,2015-06-30,2015-09-30,2015-12-31,2016-03-31,2016-06-30,2016-09-30,2016-12-31,2017-03-31,2017-06-30,2017-09-30,2017-12-31,2018-03-31,2018-06-30,2018-09-30,2018-12-31,2019-03-31,2019-06-30,2019-09-30,2019-12-31,2020-03-31,2020-06-30,2020-09-30,2020-12-31,2021-03-31
货币资金,2238718.61,2315605.41,3743384.19,3459972.22,3251037.36,3610860.0,3218187.43,3443541.46,4284392.53,4341740.92,4419791.66,4341785.9,4374886.47,4716621.93,4783024.67,4461518.49,4485025.58,4393122.59,4789026.51,4715594.19,4181848.29,4071483.84,4683624.84,5010062.78,5555542.31,4860364.03,4906332.12,4899449.62,3815899.41,4306535.53,4057243.5,3846029.16,4480809.41,3999792.38,3301527.12,3479785.34,3506328.99,3444298.81,3251222.02,3155152.63,2512413.83,3198161.18,2608974.56,2124776.48,2990705.5,3507326.05,3399497.18,4253366.03,3341844.56,3793630.73,5032969.2,3826012.97,4604818.93,4539131.82,5285138.93,7137381.48
交易性金融资产,13189.12,13983.44,214033.28,218090.79,241912.66,166184.22,27991.84,21084.18,15749.83,8671.23,568.14,1469.43,47884.46,47789.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,608.06,0.0,0.0,0.0,1175.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276558.26,259605.48,235318.4,242741.7,240920.27,106681.9,93420.54,90030.86,69403.25,65614.29,63568.05
衍生金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1193.59,0.0,30.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
应收票据及应收账款,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456999.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,637553.14,0.0,0.0,649377.73,677645.8,745147.72,1044937.62,900833.31,920794.34,952164.86,987090.65,883098.43,945957.25,881202.62,903428.79,956184.72,1136820.26
应收票据,8370.87,7533.0,11303.29,10971.38,9518.47,11955.06,11334.0,12025.1,7342.74,8038.9,9867.35,12861.29,9301.98,18330.69,19661.3,27919.17,30840.39,32534.67,36127.96,36762.31,40367.07,37874.85,26037.17,33854.75,18342.56,21225.27,24223.83,30100.49,31233.85,18327.73,16574.13,12354.02,13214.52,14514.17,12794.03,15612.17,21271.36,21203.12,25399.6,21563.8,34822.85,27169.74,29793.18,34120.61,0.0,0.0,28959.41,0.0,33277.31,26725.59,29765.66,32053.06,28696.28,20684.84,25179.92,22738.32
应收账款,957928.53,939657.28,893591.35,1015934.71,894192.85,919826.61,528650.98,490053.48,476369.1,568816.3,481853.45,608190.21,721809.84,702827.56,590150.51,637235.94,720203.41,737527.07,589094.4,765755.01,908677.78,879603.54,869040.66,919984.65,498624.71,529566.4,432775.27,451600.77,491927.1,490292.55,361156.71,371125.7,433543.94,442745.5,350107.63,530184.58,480869.4,559469.89,593174.38,615989.34,674349.2,674821.08,619584.55,643525.19,0.0,0.0,871873.9,0.0,918887.55,960365.06,853332.77,913904.19,852506.35,882743.95,931004.8,1114081.94
应收款项融资,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
预付款项,67942.63,72535.92,203065.06,255038.93,295708.15,298344.65,206314.69,211262.62,227968.21,245343.25,186855.69,270184.15,246146.62,302073.1,236104.3,270498.03,277025.28,343924.74,291014.95,292044.27,284509.77,339121.18,262322.7,337067.96,209947.62,208425.56,182998.4,162575.63,181396.88,152285.41,174339.29,141125.48,147189.13,139926.11,109210.18,100452.34,156951.52,162845.69,246860.79,248419.28,194537.52,145018.85,168410.22,188756.0,222754.11,277284.64,244327.04,240461.62,244405.75,224476.78,226594.51,229360.65,216318.19,185767.78,132082.13,178789.88
其他应收款(合计),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241025.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203164.03,0.0,0.0,143912.09,192593.55,184678.77,231985.39,260791.04,262230.64,328888.66,298813.58,285371.06,292126.62,305110.59,257365.83,272761.01,283796.32
应收利息,771.88,1032.59,2238.95,782.07,2220.74,5073.0,9626.33,2978.06,4658.44,8928.88,12287.7,14021.65,8096.25,9316.54,14085.34,13562.32,11264.52,18597.52,16689.57,19803.58,22088.98,14944.04,17686.81,20820.84,29881.19,27983.57,31318.54,22636.92,21236.48,22411.33,18929.0,18850.02,19396.7,18343.43,17483.73,8638.38,5283.77,5530.51,5516.95,3816.22,3524.03,4120.33,4744.43,5489.91,0.0,0.0,9502.08,0.0,14665.14,0.0,19251.86,0.0,21456.49,0.0,8295.79,0.0
应收股利,0.0,0.0,0.0,0.0,0.0,0.0,5865.56,4918.88,12679.45,9787.53,3423.09,3508.12,14009.47,12369.85,45064.14,59477.47,69639.02,60799.86,54729.28,56023.5,41628.14,15309.1,6651.47,5062.3,7781.92,8563.62,19864.38,28315.46,17315.51,13947.27,935.55,3347.66,44597.25,22601.16,9124.18,21313.83,21036.53,26299.64,7472.68,29116.37,34395.28,19893.1,10592.17,28143.38,0.0,0.0,12666.21,0.0,70075.82,0.0,9210.04,0.0,40020.75,0.0,7981.98,0.0
其他应收款,129886.27,216767.85,187021.89,187493.49,313814.76,275070.28,227489.22,231555.27,292232.28,320834.27,208806.92,215416.43,202300.53,215815.05,190960.09,216172.84,221583.58,252258.0,195379.39,171454.14,178988.14,181581.79,159305.57,207986.16,539398.43,190284.24,189842.61,216512.36,186298.82,171849.71,151833.41,175422.86,168975.53,186827.94,141905.85,143621.4,213950.13,317377.58,178973.37,170231.44,155332.46,213750.8,128575.49,158960.26,184678.77,231985.39,238622.75,0.0,244147.7,0.0,256909.16,0.0,243633.36,0.0,256483.23,0.0
买入返售金融资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
存货,72898.11,80866.57,155967.81,176750.04,199146.36,235896.16,165328.73,154473.45,158497.54,179839.77,195626.66,219476.72,219063.76,209928.3,231770.44,295011.43,361554.96,413754.63,365174.14,464083.81,433367.64,437781.21,299854.72,291262.78,283546.7,283374.82,264552.25,263852.97,263579.99,255973.61,219982.97,204383.31,198398.03,176619.65,146923.09,108159.53,129432.69,132938.4,156469.02,171778.2,231502.72,219546.01,233022.08,219332.74,298527.16,391760.08,410090.63,370185.11,410076.91,373349.43,405441.67,399108.27,340561.85,338590.66,323154.87,383670.33
划分为持有待售的资产,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225.29,225.29,225.29,225.29,0.0,0.0,0.0,0.0,0.0,131575.2,0.0,0.0,0.0,0.0,0.0,472834.71,459192.69,959244.02,1045257.05,1066174.44,189690.36,0.0,0.0,0.0,0.0,0.0
一年内到期的非流动资产,0.0,0.0,5676.55,4800.0,0.0,957.0,0.0,0.0,0.0,0.0,655.51,655.32,651.93,643.31,1320.28,1195.15,1283.64,1309.91,1407.12,1385.17,1369.57,1356.74,15048.52,14823.16,14360.98,14442.7,414274.32,14473.84,66501.28,66213.58,65655.58,85323.61,108309.46,138120.51,71007.21,33272.52,13120.64,13058.72,12793.56,13158.73,13097.43,13055.52,50632.34,12781.8,0.25,128796.41,0.0,0.0,0.0,0.0,0.0,26456.2,0.0,0.0,53456.91,36924.42
